Date,Salinity_psu,TALK_mEq/L,TALK_umol/Kg,Measured-Calculated,Season
23-Jan,22.02,1.85,1804.561,-0.002,Winter
23-Jan,23.93,1.945,1897.228,0.019,Winter
23-Jan,28.7,2.112,2060.126,0.002,Winter
23-Jan,26.17,2.022,1972.337,0.01,Winter
24-Jan,16.96,1.643,1602.645,-0.014,Winter
24-Jan,27.46,2.058,2007.452,-0.005,Winter
24-Jan,10.72,1.42,1385.123,0.004,Winter
24-Jan,8.55,1.327,1294.407,-0.004,Winter
24-Jan,6.36,1.223,1192.961,-0.002,Winter
24-Jan,0,1.042,1016.407,0.041,Winter
24-Jan,2.72,1.1,1072.982,-0.006,Winter
24-Jan,13.86,1.508,1470.961,-0.029,Winter
12-Nov,32.21,2.252,2196.687,-0.033,Winter
12-Nov,31.85,2.236,2181.08,-0.035,Winter
13-Nov,30.76,2.221,2166.449,-0.018,Winter
13-Nov,28.24,2.175,2121.579,0.011,Winter
13-Nov,25.41,2.099,2047.445,0.018,Winter
13-Nov,24.84,2.07,2019.158,0.006,Winter
13-Nov,22.46,2.002,1952.828,0.009,Winter
13-Nov,17.14,1.858,1812.365,0.022,Winter
13-Nov,20.13,1.931,1883.572,0.007,Winter
13-Nov,16.03,1.81,1765.544,0.007,Winter
13-Nov,13.19,1.723,1680.68,0.005,Winter
13-Nov,6.95,1.511,1473.888,-0.023,Winter
13-Nov,1.28,1.295,1263.193,-0.071,Winter
13-Nov,0.01,1.133,1105.172,-0.195,Winter
13-Nov,0.08,1.197,1167.6,-0.133,Winter
13-Nov,9.9,1.63,1589.965,0.009,Winter
13-Nov,3.78,1.422,1387.073,-0.018,Winter
16-Dec,31.02,2.228,2173.277,-0.017,Winter
16-Dec,30.85,2.209,2154.744,-0.03,Winter
17-Dec,28.37,2.144,2091.34,-0.013,Winter
17-Dec,30.85,2.226,2171.326,-0.013,Winter
17-Dec,26.96,2.126,2073.782,0.016,Winter
17-Dec,24.57,2.074,2023.059,0.044,Winter
17-Dec,19.42,1.868,1822.119,0.009,Winter
17-Dec,21.38,1.925,1877.719,0.001,Winter
17-Dec,20.05,1.883,1836.751,0.003,Winter
17-Dec,11.92,1.619,1579.235,0.009,Winter
17-Dec,5.68,1.401,1366.589,-0.002,Winter
17-Dec,2,1.245,1214.421,-0.036,Winter
17-Dec,0.01,1.288,1256.365,0.073,Winter
17-Dec,0.02,1.113,1085.663,-0.102,Winter
17-Dec,19.08,1.862,1816.266,0.014,Winter
17-Dec,3.35,1.333,1300.259,0.007,Winter
17-Dec,16.49,1.775,1731.403,0.013,Winter
17-Dec,14.13,1.689,1647.516,0.006,Winter
17-Dec,10.71,1.579,1540.217,0.009,Winter
17-Dec,8.02,1.481,1444.624,0,Winter
17-Dec,3.15,1.319,1286.603,0,Winter
