Date,Salinity_psu,TALK_mEq/L,TALK_umol/Kg,Measured-calculated
24-Jan,10.72,1.42,1385.123,0.004
5-Aug,10.78,1.506,1469.01,0.029
29-Oct,11.04,1.686,1644.589,0.005
9-Apr,11.41,1.622,1582.161,0.014
19-Aug,11.45,1.523,1485.593,-0.002
9-Jan,11.46,1.678,1636.786,0.023
19-Mar,11.52,1.597,1557.775,-0.009
6-Feb,11.54,1.544,1506.077,-0.03
9-Jan,11.74,1.669,1628.007,0.004
17-Dec,11.92,1.619,1579.235,0.009
10-Feb,12.11,1.632,1591.916,0.05
8-May,12.14,1.596,1556.8,0.012
17-Sep,12.2,1.669,1628.007,-0.007
22-May,12.24,1.581,1542.168,0.027
17-Jul,12.34,1.573,1534.365,0.013
4-Sep,12.39,1.603,1563.628,-0.022
23-Apr,12.44,1.644,1603.621,0.014
9-Apr,12.54,1.646,1605.572,0.002
16-Oct,12.66,1.765,1721.649,0.001
18-Jun,12.79,1.659,1618.252,0.027
2-Jul,12.88,1.614,1574.358,0.011
5-Aug,13.02,1.563,1524.61,0.002
5-Jun,13.17,1.623,1583.137,-0.005
13-Nov,13.19,1.723,1680.68,0.005
24-Jan,13.86,1.508,1470.961,-0.029
17-Dec,14.13,1.689,1647.516,0.006
6-Feb,14.14,1.679,1637.761,0.021
17-Jul,14.35,1.628,1588.014,-0.007
10-Feb,14.56,1.7,1658.245,0.037
16-Oct,14.58,1.82,1775.298,0.009
22-May,15.01,1.683,1641.663,0.027
9-Jan,15.05,1.773,1729.452,-0.008
29-Oct,15.18,1.8,1755.789,0.005
2-Jul,15.33,1.702,1660.196,0.012
19-Aug,15.37,1.666,1625.08,-0.001
19-Mar,15.42,1.725,1682.631,-0.001
8-May,15.49,1.723,1680.68,0.021
17-Sep,15.54,1.753,1709.944,-0.021
17-Sep,15.63,1.763,1719.698,-0.014
18-Jun,15.67,1.694,1652.393,-0.031
9-Apr,15.9,1.771,1727.502,0.02
13-Nov,16.03,1.81,1765.544,0.007
8-May,16.1,1.774,1730.428,0.051
5-Jun,16.15,1.727,1684.582,-0.002
29-Oct,16.38,1.861,1815.291,0.032
16-Oct,16.39,1.851,1805.537,-0.004
23-Apr,16.4,1.773,1729.452,0.014
17-Dec,16.49,1.775,1731.403,0.013
5-Aug,16.59,1.697,1655.319,0.002
4-Sep,16.7,1.746,1703.116,-0.02
5-Jun,16.72,1.743,1700.189,-0.005
17-Sep,16.94,1.799,1754.814,-0.017
24-Jan,16.96,1.643,1602.645,-0.014
18-Jun,17.07,1.755,1711.894,-0.016
13-Nov,17.14,1.858,1812.365,0.022
22-May,17.33,1.746,1703.116,0.004
8-May,17.7,1.802,1757.74,0.023
17-Jul,17.72,1.787,1743.109,0.028
17-Jul,17.81,1.789,1745.059,0.027
19-Mar,18.18,1.807,1762.617,-0.003
5-Aug,18.41,1.76,1716.772,-0.004
19-Aug,18.42,1.79,1746.035,0.013
2-Jul,18.51,1.799,1754.814,-0.003
29-Oct,18.6,1.903,1856.259,0.013
16-Oct,18.69,1.909,1862.112,-0.002
18-Jun,18.71,1.809,1764.568,-0.015
4-Sep,18.71,1.81,1765.544,-0.021
9-Jan,18.75,1.923,1875.768,0.013
23-Apr,18.89,1.847,1801.635,0.006
6-Feb,18.91,1.808,1763.593,-0.004
10-Feb,19.07,1.825,1780.175,0.012
17-Dec,19.08,1.862,1816.266,0.014
2-Jul,19.22,1.846,1800.659,0.019
17-Dec,19.42,1.868,1822.119,0.009
5-Aug,19.63,1.815,1770.421,0.006
17-Jul,19.66,1.831,1786.028,0
17-Dec,20.05,1.883,1836.751,0.003
6-Feb,20.1,1.849,1803.586,-0.001
13-Nov,20.13,1.931,1883.572,0.007
29-Oct,20.17,1.95,1902.105,0.016
17-Sep,20.28,1.897,1850.407,-0.018
19-Aug,20.63,1.872,1826.021,-0.013
10-Feb,20.79,1.876,1829.923,0.006
16-Oct,20.92,1.944,1896.252,-0.021
4-Sep,21.02,1.891,1844.554,-0.016
5-Aug,21.19,1.865,1819.193,-0.003
17-Dec,21.38,1.925,1877.719,0.001
5-Jun,21.51,1.91,1863.087,0.001
2-Jul,21.55,1.911,1864.063,0.001
6-Feb,21.68,1.902,1855.284,0.001
10-Feb,21.93,1.923,1875.768,0.015
29-Oct,22,1.99,1941.123,0.005
23-Jan,22.02,1.85,1804.561,-0.002
18-Jun,22.04,1.916,1868.94,-0.016
8-May,22.18,1.956,1907.958,0.02
13-Nov,22.46,2.002,1952.828,0.009
16-Oct,22.47,1.993,1944.049,-0.009
9-Jan,22.59,2.06,2009.403,0.016
4-Sep,22.68,1.952,1904.056,-0.009
23-Apr,22.7,1.988,1939.172,0.022
17-Jul,23.02,1.962,1913.81,0.008
18-Jun,23.03,1.944,1896.252,-0.02
17-Sep,23.06,2.004,1954.779,0.007
22-May,23.29,1.97,1921.614,0.008
19-Aug,23.53,1.963,1914.786,0.001
5-Aug,23.65,1.972,1923.565,0.011
2-Jul,23.9,1.994,1945.024,0.001
23-Jan,23.93,1.945,1897.228,0.019
5-Jun,23.98,1.997,1947.951,0.005
18-Jun,24.08,2.001,1951.852,0.003
9-Jan,24.26,2.102,2050.372,0
8-May,24.31,2.026,1976.238,0.015
17-Jul,24.33,1.998,1948.926,-0.004
4-Sep,24.36,2.014,1964.533,-0.002
23-Jan,24.54,1.959,1910.884,0.009
17-Dec,24.57,2.074,2023.059,0.044
6-Feb,24.6,1.99,1941.123,-0.005
4-Sep,24.7,2.037,1986.968,0.01
22-May,24.72,2.017,1967.459,0.002
13-Nov,24.84,2.07,2019.158,0.006
19-Mar,24.85,2.02,1970.386,0.006
9-Apr,25.14,2.049,1998.673,0.003
5-Aug,25.15,2.015,1965.508,-0.002
29-Oct,25.32,2.085,2033.789,0.008
13-Nov,25.41,2.099,2047.445,0.018
16-Oct,25.43,2.074,2023.059,0
29-Oct,25.75,2.093,2041.593,0.004
17-Sep,25.85,2.09,2038.666,0.01
23-Apr,26.01,2.081,2029.887,0.006
17-Sep,26.07,2.074,2023.059,-0.012
4-Sep,26.08,2.076,2025.01,0.003
23-Jan,26.17,2.022,1972.337,0.01
5-Feb,26.3,2.049,1998.673,0
18-Jun,26.7,2.077,2025.986,-0.006
19-Aug,26.7,2.09,2038.666,0.014
18-Mar,26.73,2.078,2026.961,0.006
16-Oct,26.89,2.108,2056.224,-0.002
22-May,26.96,2.098,2046.47,0.001
17-Dec,26.96,2.126,2073.782,0.016
8-May,27,2.088,2036.716,-0.017
9-Jan,27.04,2.181,2127.431,-0.018
5-Jun,27.06,2.096,2044.519,0.001
2-Jul,27.18,2.114,2062.077,0.005
24-Jan,27.46,2.058,2007.452,-0.005
16-Oct,28.09,2.136,2083.537,-0.003
13-Nov,28.24,2.175,2121.579,0.011
10-Feb,28.33,2.114,2062.077,-0.006
17-Sep,28.34,2.154,2101.094,0
17-Dec,28.37,2.144,2091.34,-0.013
19-Aug,28.61,2.14,2087.438,-0.005
23-Jan,28.7,2.112,2060.126,0.002
4-Sep,28.81,2.19,2136.21,0.028
8-Apr,28.82,2.163,2109.873,-0.001
5-Aug,28.84,2.143,2090.365,-0.012
