Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,1/1/20 12:00, ,11.8,0,43.35,0,27.9,0,89.8,0,8.2,0,1.84,0,7.9,0,6,0
sfbrbwq,1/1/20 12:15, ,11.9,0,43.43,0,27.9,0,89.5,0,8.1,0,1.81,0,7.9,0,7,0
sfbrbwq,1/1/20 12:30, ,11.9,0,43.35,0,27.9,0,90,0,8.2,0,1.85,0,7.9,0,6,0
sfbrbwq,1/1/20 12:45, ,11.9,0,43.37,0,27.9,0,90,0,8.2,0,1.94,0,7.9,0,7,0
sfbrbwq,1/1/20 13:00, ,11.9,0,43.34,0,27.9,0,90.8,0,8.2,0,1.95,0,7.9,0,6,0
sfbrbwq,1/1/20 13:15, ,11.9,0,43.38,0,27.9,0,90.8,0,8.2,0,2.01,0,7.9,0,7,0
sfbrbwq,1/1/20 13:30, ,11.9,0,43.38,0,27.9,0,91.4,0,8.3,0,2.04,0,7.9,0,6,0
sfbrbwq,1/1/20 13:45, ,11.9,0,43.42,0,27.9,0,91.7,0,8.3,0,2.05,0,7.9,0,6,0
sfbrbwq,1/1/20 14:00, ,11.9,0,43.44,0,27.9,0,91.2,0,8.3,0,2.08,0,7.9,0,6,0
sfbrbwq,1/1/20 14:15, ,12,0,43.43,0,27.9,0,91,0,8.2,0,2.07,0,7.9,0,6,0
sfbrbwq,1/1/20 14:30, ,12,0,43.39,0,27.9,0,92.6,0,8.4,0,2.12,0,7.9,0,5,0
sfbrbwq,1/1/20 14:45, ,12,0,43.39,0,27.9,0,91.6,0,8.3,0,2.09,0,7.9,0,5,0
sfbrbwq,1/1/20 15:00, ,12,0,43.42,0,27.9,0,91.8,0,8.3,0,2.14,0,7.9,0,6,0
sfbrbwq,1/1/20 15:15, ,12.1,0,43.38,0,27.9,0,93.2,0,8.4,0,2.18,0,7.9,0,5,0
sfbrbwq,1/1/20 15:30, ,12.1,0,43.38,0,27.9,0,92.4,0,8.3,0,2.12,0,7.9,0,5,0
sfbrbwq,1/1/20 15:45, ,12.1,0,43.37,0,27.9,0,93.1,0,8.4,0,2.12,0,7.9,0,5,0
sfbrbwq,1/1/20 16:00, ,12.1,0,43.38,0,27.9,0,93,0,8.4,0,2.1,0,7.9,0,5,0
sfbrbwq,1/1/20 16:15, ,12.1,0,43.38,0,27.9,0,92.7,0,8.4,0,2.06,0,7.9,0,5,0
sfbrbwq,1/1/20 16:30, ,12.1,0,43.36,0,27.9,0,93.3,0,8.4,0,2.12,0,7.9,0,5,0
sfbrbwq,1/1/20 16:45, ,12.1,0,43.36,0,27.9,0,92.8,0,8.4,0,2.03,0,7.9,0,5,0
sfbrbwq,1/1/20 17:00, ,12.1,0,43.36,0,27.9,0,92.3,0,8.3,0,1.97,0,7.9,0,5,0
sfbrbwq,1/1/20 17:15, ,12.1,0,43.36,0,27.9,0,92.3,0,8.3,0,2.02,0,7.9,0,5,0
sfbrbwq,1/1/20 17:30, ,12.1,0,43.35,0,27.9,0,92.8,0,8.4,0,1.94,0,7.9,0,6,0
sfbrbwq,1/1/20 17:45, ,12.1,0,43.32,0,27.9,0,93.2,0,8.4,0,1.84,0,7.9,0,6,0
sfbrbwq,1/1/20 18:00, ,12.1,0,43.26,0,27.8,0,93.3,0,8.4,0,1.77,0,7.9,0,6,0
sfbrbwq,1/1/20 18:15, ,12.1,0,43.21,0,27.8,0,92.6,0,8.4,0,1.72,0,7.9,0,6,0
sfbrbwq,1/1/20 18:30, ,12.1,0,43.19,0,27.8,0,92.9,0,8.4,0,1.66,0,7.9,0,6,0
sfbrbwq,1/1/20 18:45, ,12.1,0,43.14,0,27.7,0,92.7,0,8.4,0,1.55,0,7.9,0,6,0
sfbrbwq,1/1/20 19:00, ,12.1,0,43.12,0,27.7,0,92.7,0,8.4,0,1.52,0,7.9,0,6,0
sfbrbwq,1/1/20 19:15, ,12.2,0,43.11,0,27.7,0,92.8,0,8.4,0,1.45,0,7.9,0,6,0
sfbrbwq,1/1/20 19:30, ,12.2,0,43.1,0,27.7,0,92.8,0,8.4,0,1.38,0,7.9,0,6,0
sfbrbwq,1/1/20 19:45, ,12.2,0,43.08,0,27.7,0,92.7,0,8.4,0,1.33,0,7.9,0,6,0
sfbrbwq,1/1/20 20:00, ,12.2,0,43.05,0,27.7,0,91.9,0,8.3,0,1.29,0,7.9,0,6,0
sfbrbwq,1/1/20 20:15, ,12.1,0,43.03,0,27.7,0,92,0,8.3,0,1.24,0,7.9,0,6,0
sfbrbwq,1/1/20 20:30, ,12.1,0,43.02,0,27.6,0,91.6,0,8.3,0,1.18,0,7.9,0,8,0
sfbrbwq,1/1/20 20:45, ,12.1,0,42.98,0,27.6,0,91.1,0,8.2,0,1.12,0,7.9,0,7,0
sfbrbwq,1/1/20 21:00, ,12.1,0,42.98,0,27.6,0,91,0,8.2,0,1.13,0,7.9,0,7,0
sfbrbwq,1/1/20 21:15, ,12.1,0,42.95,0,27.6,0,90.1,0,8.2,0,1.07,0,7.9,0,8,0
sfbrbwq,1/1/20 21:30, ,12,0,42.93,0,27.6,0,89,0,8.1,0,1.05,0,7.9,0,8,0
sfbrbwq,1/1/20 21:45, ,12,0,42.88,0,27.5,0,88.5,0,8,0,1,0,7.9,0,11,0
sfbrbwq,1/1/20 22:00, ,12,0,42.9,0,27.6,0,89,0,8.1,0,1.07,0,7.9,0,8,0
sfbrbwq,1/1/20 22:15, ,12,0,42.91,0,27.6,0,88.5,0,8,0,1.07,0,7.9,0,7,0
sfbrbwq,1/1/20 22:30, ,12.1,0,42.92,0,27.6,0,89.5,0,8.1,0,1.07,0,7.9,0,7,0
sfbrbwq,1/1/20 22:45, ,12.1,0,42.93,0,27.6,0,89,0,8.1,0,1.12,0,7.9,0,6,0
sfbrbwq,1/1/20 23:00, ,12,0,42.93,0,27.6,0,89.1,0,8.1,0,1.11,0,7.9,0,7,0
sfbrbwq,1/1/20 23:15, ,12,0,42.94,0,27.6,0,89.2,0,8.1,0,1.13,0,7.9,0,9,0
sfbrbwq,1/1/20 23:30, ,12,0,42.99,0,27.6,0,89.8,0,8.1,0,1.21,0,7.9,0,7,0
sfbrbwq,1/1/20 23:45, ,12,0,43.02,0,27.6,0,90,0,8.2,0,1.23,0,7.9,0,6,0
sfbrbwq,1/2/20 0:00, ,12,0,43.05,0,27.7,0,90.8,0,8.2,0,1.29,0,7.9,0,6,0
